sample_id,fps,frames_received,frames_decoded,frames_dropped,decode_time,bitrate_received,round_trip_time
0,76.00,,,,0.00,0.00,0.00
1,29.00,51.73,51.73,,6.99,0.37,27.00
2,24.00,19.55,19.55,,7.02,0.00,27.00
3,22.00,21.97,21.97,,9.09,0.00,25.00
4,20.00,20.03,20.03,,9.37,0.00,25.00
5,22.00,22.01,22.01,,8.56,0.82,25.00
6,23.00,23.00,23.00,,6.94,0.01,28.00
7,21.00,21.02,21.02,,7.09,0.00,28.00
8,25.00,25.97,25.97,,7.43,0.01,29.00
9,37.00,37.98,37.98,,6.93,1.40,29.00
10,57.00,57.03,57.03,,6.64,0.50,29.00
11,40.00,40.05,40.05,,6.69,0.02,34.00
12,21.00,21.01,21.01,,6.88,0.01,34.00
13,21.00,20.97,20.97,,7.49,0.01,34.00
14,47.00,47.05,47.05,,6.53,0.06,28.00
15,59.00,58.99,58.99,,6.26,0.03,28.00
16,60.00,59.91,59.91,,6.32,0.04,25.00
17,50.00,50.10,50.10,,6.82,0.04,25.00
18,28.00,27.96,27.96,,7.42,0.28,25.00
19,34.00,34.05,34.05,,7.81,0.60,30.00
20,58.00,58.00,58.00,,7.46,0.63,30.00
21,60.00,60.00,60.00,,7.26,0.09,30.00
22,60.00,59.89,59.89,,6.98,0.10,47.00
23,60.00,60.11,60.11,,7.07,0.10,47.00
24,60.00,60.00,60.00,,7.23,0.10,30.00
25,60.00,60.02,60.02,,7.07,0.10,30.00
26,60.00,59.95,59.95,,6.67,0.51,30.00
27,60.00,60.03,60.03,,7.90,0.11,30.00
28,60.00,59.95,59.95,,6.70,0.10,30.00
29,60.00,59.97,59.97,,6.72,0.11,30.00
30,59.00,59.09,59.09,,6.78,0.14,27.00
31,60.00,60.84,60.84,,7.58,0.14,27.00
32,60.00,60.12,60.12,,6.88,0.13,29.00
33,59.00,58.99,58.99,,6.68,0.12,29.00
34,60.00,59.96,59.96,,7.18,0.10,29.00
35,59.00,59.87,59.87,,7.22,0.10,32.00
36,60.00,60.19,60.19,,7.37,0.11,32.00
37,60.00,59.87,59.87,,6.92,0.11,32.00
38,60.00,60.13,60.13,,7.48,0.12,26.00
39,60.00,60.02,60.02,,6.56,0.12,26.00
40,60.00,59.89,59.89,,6.31,0.11,25.00
41,60.00,60.03,60.03,,7.74,0.10,25.00
42,59.00,59.01,59.01,,7.08,0.10,25.00
43,61.00,61.08,61.08,,6.47,0.10,32.00
44,60.00,59.92,59.92,,7.24,0.10,32.00
45,58.00,57.94,57.94,,7.31,0.11,33.00
46,61.00,61.00,61.00,,6.72,0.12,33.00
47,61.00,61.06,61.06,,6.80,0.12,33.00
48,59.00,58.98,58.98,,7.33,0.11,25.00
49,52.00,52.08,52.08,,6.74,0.09,25.00
50,30.00,29.97,29.97,,8.33,0.06,25.00
51,30.00,30.02,30.02,,7.88,0.07,27.00
52,30.00,29.99,29.99,,8.10,0.07,27.00
53,30.00,29.99,29.99,,8.50,0.08,51.00
54,29.00,28.97,28.97,,7.45,0.07,51.00
55,31.00,31.06,31.06,,8.45,0.07,51.00
56,30.00,29.98,29.98,,8.53,0.45,27.00
57,30.00,30.02,30.02,,7.86,0.09,27.00
58,30.00,30.01,30.01,,8.14,0.08,27.00
59,29.00,28.96,28.96,,8.32,0.08,26.00
60,31.00,31.01,31.01,,7.82,0.09,26.00
61,30.00,30.02,30.02,,8.87,0.08,30.00
62,30.00,29.98,29.98,,8.37,0.09,30.00
63,30.00,29.97,29.97,,7.84,0.08,30.00
64,30.00,30.00,30.00,,8.31,0.09,27.00
65,38.00,30.32,30.32,,8.20,0.08,26.00
66,58.00,61.74,61.74,,8.66,0.09,26.00
67,60.00,59.94,59.94,,8.21,0.10,33.00
68,59.00,59.12,59.12,,8.09,0.10,33.00
69,61.00,61.07,61.07,,7.36,0.52,33.00
70,60.00,60.02,60.02,,6.35,0.14,40.00
71,60.00,60.01,60.01,,6.60,0.14,40.00
72,59.00,59.02,59.02,,6.73,0.53,35.00
73,61.00,60.98,60.98,,6.27,0.13,35.00
74,59.00,59.00,59.00,,6.16,0.12,35.00
75,61.00,60.90,60.90,,6.88,0.13,25.00
76,61.00,60.10,60.10,,6.34,0.12,25.00
77,59.00,58.99,58.99,,6.19,0.13,25.00
78,60.00,59.91,59.91,,6.53,0.12,26.00
79,60.00,60.06,60.06,,7.88,0.12,26.00
80,60.00,60.03,60.03,,6.66,0.12,26.00
81,60.00,60.00,60.00,,7.03,0.11,26.00
82,60.00,59.95,59.95,,7.23,0.11,26.00
83,60.00,59.94,59.94,,7.00,0.11,69.00
84,60.00,60.11,60.11,,6.68,0.10,69.00
85,60.00,59.91,59.91,,7.26,0.10,69.00
86,60.00,60.07,60.07,,7.42,0.11,26.00
87,60.00,59.97,59.97,,6.77,0.11,26.00
88,60.00,60.08,60.08,,7.00,0.10,25.00
89,60.00,59.99,59.99,,7.66,0.10,25.00
90,60.00,59.99,59.99,,6.67,0.10,25.00
91,59.00,58.95,58.95,,6.94,0.10,60.00
92,60.00,60.00,60.00,,6.87,0.10,60.00
93,60.00,60.03,60.03,,7.04,0.10,60.00
94,60.00,60.03,60.03,,6.80,0.10,27.00
95,60.00,59.90,59.90,,7.01,0.11,27.00
96,31.00,31.02,31.02,,7.51,0.07,28.00
97,29.00,29.99,29.99,,8.04,0.07,28.00
98,30.00,30.91,30.91,,8.44,0.07,28.00
99,29.00,29.02,29.02,,7.95,0.07,26.00
100,30.00,30.09,30.09,,7.94,0.07,26.00
101,31.00,30.98,30.98,,8.57,0.07,26.00
102,29.00,29.01,29.01,,7.57,0.47,27.00
103,30.00,30.01,30.01,,8.25,0.09,27.00
104,31.00,30.96,30.96,,8.54,0.09,35.00
105,29.00,29.03,29.03,,7.77,0.08,35.00
106,31.00,31.00,31.00,,8.06,0.08,35.00
107,29.00,29.02,29.02,,8.32,0.07,26.00
108,30.00,29.97,29.97,,8.09,0.07,26.00
109,30.00,30.01,30.01,,8.40,0.07,26.00
110,31.00,30.96,30.96,,8.22,0.07,28.00
111,30.00,30.06,30.06,,7.85,0.08,28.00
112,29.00,28.95,28.95,,9.16,0.07,27.00
113,31.00,31.06,31.06,,8.31,0.08,27.00
114,29.00,29.01,29.01,,7.72,0.08,27.00
115,30.00,30.82,30.82,,8.56,0.07,30.00
116,30.00,29.13,29.13,,8.45,0.08,30.00
117,29.00,30.01,30.01,,7.94,0.09,30.00
118,31.00,31.01,31.01,,8.43,0.08,57.00
119,29.00,29.00,29.00,,8.17,0.09,57.00
120,29.00,29.90,29.90,,8.55,0.08,27.00
121,31.00,31.08,31.08,,8.68,0.07,27.00
122,29.00,29.02,29.02,,7.54,0.07,27.00
123,30.00,30.98,30.98,,7.77,0.06,26.00
124,29.00,28.91,28.91,,8.19,0.08,26.00
125,30.00,30.13,30.13,,7.85,0.08,26.00
126,30.00,30.01,30.01,,7.92,0.08,27.00
127,31.00,30.98,30.98,,8.74,0.07,27.00
128,31.00,30.00,30.00,,8.36,0.09,27.00
129,30.00,29.98,29.98,,8.27,0.09,28.00
130,40.00,30.19,30.19,,8.28,0.08,28.00
131,44.00,59.29,59.29,,7.59,0.11,28.00
132,59.00,59.81,59.81,,8.30,0.11,28.00
133,60.00,60.18,60.18,,7.60,0.12,28.00
134,60.00,60.91,60.91,,7.23,0.11,28.00
135,59.00,58.94,58.94,,7.66,0.12,28.00
136,60.00,60.04,60.04,,7.36,0.12,28.00
137,60.00,60.11,60.11,,6.89,0.51,26.00
138,60.00,59.97,59.97,,7.66,0.15,26.00
139,59.00,59.05,59.05,,7.72,0.14,26.00
140,61.00,60.86,60.86,,8.16,0.13,29.00
141,59.00,59.08,59.08,,8.24,0.13,29.00
142,60.00,60.04,60.04,,7.89,0.14,29.00
143,60.00,60.97,60.97,,7.37,0.14,29.00
144,60.00,60.04,60.04,,6.56,0.14,29.00
145,60.00,60.04,60.04,,6.54,0.13,41.00
146,60.00,59.91,59.91,,6.76,0.12,41.00
147,59.00,59.02,59.02,,6.63,0.11,41.00
148,60.00,60.04,60.04,,6.17,0.12,26.00
149,59.00,60.00,60.00,,7.32,0.13,26.00
150,59.00,59.90,59.90,,7.87,0.14,26.00
151,60.00,60.07,60.07,,7.79,0.12,28.00
152,60.00,60.05,60.05,,7.66,0.11,28.00
153,56.00,55.95,55.95,,6.99,0.10,28.00
154,63.00,62.91,62.91,,7.88,0.12,28.00
155,46.00,46.04,46.04,15.00,10.24,0.10,28.00
156,60.00,60.01,60.01,15.00,6.53,0.22,24.00
157,60.00,59.99,59.99,15.00,6.44,0.11,24.00
158,60.00,59.94,59.94,15.00,6.86,0.12,24.00
159,60.00,60.13,60.13,15.00,6.79,0.12,47.00
160,60.00,59.94,59.94,15.00,6.68,0.11,47.00
161,47.00,47.04,47.04,15.00,6.87,0.08,27.00
162,30.00,29.99,29.99,15.00,7.74,0.07,27.00
163,30.00,29.92,29.92,15.00,7.50,0.07,27.00
164,30.00,30.01,30.01,15.00,7.65,0.08,30.00
165,30.00,30.04,30.04,15.00,6.98,0.08,30.00
166,30.00,29.93,29.93,15.00,7.45,0.08,30.00
167,30.00,30.07,30.07,15.00,7.23,0.45,29.00
168,30.00,29.99,29.99,15.00,7.56,0.08,29.00
169,30.00,29.96,29.96,15.00,7.21,0.09,26.00
170,30.00,30.09,30.09,15.00,7.90,0.08,26.00
171,30.00,30.01,30.01,15.00,7.31,0.09,26.00
172,30.00,29.95,29.95,15.00,7.63,0.10,26.00
173,30.00,30.03,30.03,15.00,7.65,0.09,26.00
174,30.00,29.97,29.97,15.00,7.79,0.08,26.00
175,30.00,30.02,30.02,15.00,7.19,0.08,28.00
176,30.00,29.98,29.98,15.00,7.60,0.08,28.00
177,30.00,30.00,30.00,15.00,7.71,0.08,27.00
178,30.00,29.94,29.94,15.00,7.33,0.07,27.00
179,30.00,30.04,30.04,15.00,7.37,0.07,27.00
180,30.00,30.06,30.06,15.00,7.61,0.07,59.00
181,30.00,30.01,30.01,15.00,7.69,0.07,59.00
182,30.00,29.96,29.96,15.00,7.49,0.08,28.00
183,30.00,30.02,30.02,15.00,7.69,0.08,28.00
184,30.00,29.98,29.98,15.00,7.70,0.08,28.00
185,30.00,30.02,30.02,15.00,7.41,0.07,54.00
186,29.00,28.97,28.97,15.00,8.05,0.06,54.00
187,31.00,31.02,31.02,15.00,7.35,0.06,54.00
188,30.00,29.93,29.93,15.00,7.74,0.07,37.00
189,30.00,30.06,30.06,15.00,7.22,0.07,37.00
190,30.00,30.01,30.01,15.00,7.87,0.07,55.00
191,30.00,29.98,29.98,15.00,7.55,0.06,55.00
192,30.00,29.93,29.93,15.00,7.73,0.07,55.00
193,30.00,30.07,30.07,15.00,7.32,0.06,27.00
194,30.00,30.01,30.01,15.00,7.51,0.07,27.00
195,30.00,30.02,30.02,15.00,7.70,0.07,27.00
196,30.00,29.99,29.99,15.00,7.10,0.07,46.00
197,30.00,30.01,30.01,15.00,7.77,0.46,46.00
198,30.00,29.99,29.99,15.00,7.83,0.10,27.00
199,30.00,30.00,30.00,15.00,7.37,0.09,27.00
200,29.00,28.93,28.93,15.00,7.25,0.08,27.00
201,31.00,31.06,31.06,15.00,7.40,0.09,26.00
202,30.00,30.03,30.03,15.00,7.66,0.08,26.00
203,29.00,28.94,28.94,15.00,6.51,0.07,26.00
204,31.00,31.05,31.05,15.00,6.71,0.09,61.00
205,30.00,30.01,30.01,15.00,7.83,0.08,61.00
206,30.00,30.00,30.00,15.00,7.48,0.08,26.00
207,30.00,29.97,29.97,15.00,7.19,0.08,26.00
208,30.00,30.02,30.02,15.00,7.70,0.07,26.00
209,30.00,30.00,30.00,15.00,7.56,0.07,33.00
210,30.00,30.00,30.00,15.00,7.37,0.07,33.00
211,30.00,29.94,29.94,15.00,7.07,0.09,33.00
212,29.00,29.01,29.01,15.00,7.64,0.09,27.00
213,31.00,31.06,31.06,15.00,8.26,0.09,27.00
