sample_id,fps,frames_received,frames_decoded,frames_dropped,decode_time,bitrate_received,round_trip_time
176,60.00,59.99,59.99,0.00,2.90,10.93,42.00
177,60.00,59.50,59.50,0.00,0.00,10.82,42.00
178,59.00,59.00,59.00,0.00,2.91,10.71,42.00
179,59.00,59.00,59.00,0.00,3.50,13.54,42.00
180,59.00,59.50,59.50,0.00,0.00,14.42,42.00
181,60.00,59.99,59.99,0.00,3.81,15.29,43.00
182,59.00,59.01,59.01,0.00,2.93,11.49,43.00
183,59.00,59.49,59.49,0.00,0.00,11.42,43.00
184,60.00,59.98,59.98,0.00,2.99,11.35,43.00
185,59.00,59.01,59.01,0.00,3.09,11.05,43.00
186,59.00,59.50,59.50,0.00,0.00,11.16,43.00
187,60.00,60.00,60.00,0.00,2.95,11.27,43.00
188,59.00,59.01,59.01,0.00,2.87,11.15,42.00
189,59.00,58.98,58.98,0.00,0.00,13.94,42.00
190,59.00,58.96,58.96,0.00,4.33,16.72,42.00
191,60.00,60.04,60.04,0.00,3.01,12.51,42.00
192,60.00,59.52,59.52,0.00,0.00,11.97,42.00
193,59.00,59.00,59.00,0.00,2.93,11.43,42.00
194,60.00,59.99,59.99,0.00,2.87,11.21,42.00
195,60.00,59.50,59.50,0.00,0.00,11.03,42.00
196,59.00,59.01,59.01,0.00,2.90,10.85,43.00
197,60.00,60.00,60.00,0.00,2.92,11.15,43.00
198,60.00,59.50,59.50,0.00,0.00,12.66,43.00
199,59.00,59.01,59.01,0.00,3.69,14.18,43.00
200,60.00,59.99,59.99,0.00,4.44,17.86,43.00
201,60.00,59.50,59.50,0.00,0.00,14.67,43.00
202,59.00,59.00,59.00,0.00,2.98,11.48,43.00
203,60.00,60.00,60.00,0.00,3.05,11.54,43.00
204,60.00,59.50,59.50,0.00,0.00,11.52,43.00
205,59.00,59.00,59.00,0.00,2.96,11.50,42.00
206,60.00,59.99,59.99,0.00,2.93,11.44,42.00
207,60.00,59.49,59.49,0.00,0.00,11.27,42.00
208,59.00,58.98,58.98,0.00,3.00,11.10,42.00
209,60.00,60.03,60.03,0.00,5.08,20.61,42.00
210,60.00,59.52,59.52,0.00,0.00,16.50,42.00
211,59.00,59.01,59.01,0.00,3.14,12.39,42.00
212,60.00,60.99,60.99,0.00,3.04,11.93,42.00
213,60.00,58.92,58.92,0.00,2.99,11.43,43.00
214,60.00,58.96,58.96,0.00,0.00,11.51,43.00
215,59.00,59.00,59.00,0.00,3.07,11.59,43.00
216,59.00,59.50,59.50,0.00,0.00,11.56,43.00
217,60.00,60.00,60.00,0.00,2.97,11.53,43.00
218,60.00,59.50,59.50,0.00,0.00,11.36,43.00
219,59.00,59.00,59.00,0.00,3.19,11.19,43.00
220,59.00,59.51,59.51,0.00,0.00,14.64,43.00
221,60.00,60.01,60.01,0.00,4.63,18.10,43.00
222,60.00,59.49,59.49,0.00,0.00,15.57,43.00
223,59.00,58.98,58.98,0.00,3.29,13.04,42.00
224,59.00,59.49,59.49,0.00,0.00,12.34,42.00
225,60.00,60.01,60.01,0.00,3.03,11.65,42.00
226,60.00,59.50,59.50,0.00,0.00,11.58,42.00
227,59.00,59.00,59.00,0.00,3.05,11.52,42.00
228,59.00,59.50,59.50,0.00,0.00,11.31,42.00
229,60.00,60.00,60.00,0.00,2.95,11.09,42.00
230,60.00,59.50,59.50,0.00,0.00,11.28,42.00
231,59.00,59.00,59.00,0.00,2.96,11.47,42.00
232,59.00,59.50,59.50,0.00,0.00,12.87,42.00
233,60.00,60.00,60.00,0.00,3.70,14.27,42.00
234,60.00,59.50,59.50,0.00,0.00,15.47,42.00
235,59.00,58.99,58.99,0.00,4.09,16.67,42.00
236,59.00,59.50,59.50,0.00,0.00,14.27,42.00
237,60.00,60.01,60.01,0.00,3.04,11.88,42.00
238,60.00,59.51,59.51,0.00,0.00,11.71,42.00
239,59.00,59.01,59.01,0.00,2.93,11.55,43.00
240,59.00,59.50,59.50,0.00,0.00,11.50,43.00
241,60.00,59.99,59.99,0.00,2.96,11.46,43.00
242,60.00,59.49,59.49,0.00,0.00,11.27,43.00
243,59.00,58.99,58.99,0.00,2.95,11.09,43.00
244,59.00,59.47,59.47,0.00,0.00,11.27,43.00
245,59.00,59.95,59.95,0.00,2.93,11.46,42.00
246,58.00,59.02,59.02,0.00,3.91,14.75,42.00
247,60.00,60.01,60.01,0.00,3.49,11.46,42.00
248,59.00,59.00,59.00,0.00,2.99,11.28,43.00
249,59.00,59.50,59.50,0.00,3.71,14.41,43.00
250,58.00,58.50,58.50,0.00,2.09,5.73,43.00
251,59.00,59.00,59.00,0.00,4.44,19.05,42.00
252,59.00,59.50,59.50,0.00,4.26,18.42,43.00
253,59.00,59.50,59.50,0.00,4.25,18.34,42.00
254,59.00,59.47,59.47,0.00,4.16,18.45,42.00
255,59.00,59.53,59.53,0.00,4.47,20.09,43.00
256,59.00,59.50,59.50,0.00,4.61,20.40,42.00
257,59.00,59.50,59.50,0.00,4.49,20.31,42.00
258,59.00,59.48,59.48,0.00,4.49,20.28,42.00
259,59.00,59.52,59.52,0.00,4.50,20.11,42.00
260,59.00,59.50,59.50,0.00,4.68,20.65,43.00
261,59.00,59.50,59.50,0.00,4.40,20.04,42.00
262,59.00,59.50,59.50,0.00,4.50,20.22,42.00
263,60.00,59.96,59.96,0.00,4.68,20.81,42.00
264,59.00,59.04,59.04,0.00,4.49,19.87,42.00
265,59.00,59.50,59.50,0.00,4.63,20.82,43.00
266,59.00,59.50,59.50,0.00,4.39,20.10,43.00
267,59.00,59.50,59.50,0.00,4.57,20.45,43.00
268,59.00,59.50,59.50,0.00,4.59,20.44,42.00
269,59.00,59.50,59.50,0.00,4.71,20.59,42.00
270,60.00,59.49,59.49,0.00,4.59,19.77,43.00
271,60.00,59.51,59.51,0.00,4.59,20.36,43.00
272,60.00,59.50,59.50,0.00,4.65,20.62,43.00
273,60.00,59.50,59.50,0.00,5.34,20.66,42.00
274,59.00,58.99,58.99,0.00,4.68,19.90,42.00
275,59.00,59.51,59.51,0.00,4.98,21.29,43.00
276,59.00,59.39,59.39,0.00,4.70,21.70,43.00
277,60.00,59.71,59.71,0.00,4.83,21.79,42.00
